title,author,genre,default_location
Atomic Habits,James Clear,Self-Help,Compartment 1
Deep Work,Cal Newport,Productivity,Compartment 1
The Pragmatic Programmer,Andrew Hunt,Programming,Compartment 2
Clean Code,Robert C. Martin,Programming,Compartment 2
The Alchemist,Paulo Coelho,Fiction,Compartment 3
To Kill a Mockingbird,Harper Lee,Fiction,Compartment 3
Sapiens,Yuval Noah Harari,History,Compartment 4
Educated,Tara Westover,Biography,Compartment 4
Python Crash Course,Eric Matthes,Programming,Compartment 2
Ikigai,Héctor García,Self-Help,Compartment 1
